#timestep  time            dt               CD_p             CD_f             CL_p
     1425  1.51425000e+02  1.00000000e-03   2.90543367e-02   2.24280062e-02   4.01555206e-01
     1450  1.51450000e+02  1.00000000e-03   2.92164251e-02   2.24580670e-02   4.03397131e-01
     1475  1.51475000e+02  1.00000000e-03   2.93602190e-02   2.24936983e-02   4.05088593e-01
     1500  1.51500000e+02  1.00000000e-03   2.94849170e-02   2.25346317e-02   4.06618478e-01
     1525  1.51525000e+02  1.00000000e-03   2.95899300e-02   2.25805887e-02   4.07977464e-01
     1550  1.51550000e+02  1.00000000e-03   2.96748478e-02   2.26312674e-02   4.09157920e-01
     1575  1.51575000e+02  1.00000000e-03   2.97394203e-02   2.26863205e-02   4.10153781e-01
     1600  1.51600000e+02  1.00000000e-03   2.97836040e-02   2.27453247e-02   4.10960805e-01
     1625  1.51625000e+02  1.00000000e-03   2.98074511e-02   2.28077325e-02   4.11576006e-01
     1650  1.51650000e+02  1.00000000e-03   2.98110067e-02   2.28729691e-02   4.11996877e-01
     1675  1.51675000e+02  1.00000000e-03   2.97945779e-02   2.29403715e-02   4.12223364e-01
     1700  1.51700000e+02  1.00000000e-03   2.97585150e-02   2.30093477e-02   4.12256359e-01
     1725  1.51725000e+02  1.00000000e-03   2.97034438e-02   2.30793724e-02   4.12099208e-01
     1750  1.51750000e+02  1.00000000e-03   2.96299932e-02   2.31500410e-02   4.11755897e-01
     1775  1.51775000e+02  1.00000000e-03   2.95391510e-02   2.32209606e-02   4.11233020e-01
     1800  1.51800000e+02  1.00000000e-03   2.94318974e-02   2.32917746e-02   4.10537556e-01
     1825  1.51825000e+02  1.00000000e-03   2.93092052e-02   2.33621193e-02   4.09676847e-01
     1850  1.51850000e+02  1.00000000e-03   2.91719787e-02   2.34315950e-02   4.08658338e-01
     1875  1.51875000e+02  1.00000000e-03   2.90209464e-02   2.34997863e-02   4.07488815e-01
     1900  1.51900000e+02  1.00000000e-03   2.88568135e-02   2.35662648e-02   4.06175265e-01
     1925  1.51925000e+02  1.00000000e-03   2.86803049e-02   2.36306018e-02   4.04724870e-01
     1950  1.51950000e+02  1.00000000e-03   2.84922730e-02   2.36923863e-02   4.03145311e-01
     1975  1.51975000e+02  1.00000000e-03   2.82937567e-02   2.37512381e-02   4.01444872e-01
     2000  1.52000000e+02  1.00000000e-03   2.80859619e-02   2.38068146e-02   3.99632267e-01
     2025  1.52025000e+02  1.00000000e-03   2.78701535e-02   2.38588055e-02   3.97716244e-01
     2050  1.52050000e+02  1.00000000e-03   2.76475641e-02   2.39069147e-02   3.95705596e-01
     2075  1.52075000e+02  1.00000000e-03   2.74192546e-02   2.39508479e-02   3.93608959e-01
     2100  1.52100000e+02  1.00000000e-03   2.71860624e-02   2.39902975e-02   3.91434971e-01
     2125  1.52125000e+02  1.00000000e-03   2.69486343e-02   2.40249410e-02   3.89192657e-01
     2150  1.52150000e+02  1.00000000e-03   2.67075542e-02   2.40544474e-02   3.86892026e-01
     2175  1.52175000e+02  1.00000000e-03   2.64635037e-02   2.40785004e-02   3.84544578e-01
     2200  1.52200000e+02  1.00000000e-03   2.62174278e-02   2.40968276e-02   3.82163676e-01
     2225  1.52225000e+02  1.00000000e-03   2.59706635e-02   2.41092270e-02   3.79764712e-01
     2250  1.52250000e+02  1.00000000e-03   2.57249782e-02   2.41155918e-02   3.77364935e-01
     2275  1.52275000e+02  1.00000000e-03   2.54824915e-02   2.41159169e-02   3.74982926e-01
     2300  1.52300000e+02  1.00000000e-03   2.52455164e-02   2.41102943e-02   3.72637923e-01
     2325  1.52325000e+02  1.00000000e-03   2.50163712e-02   2.40988991e-02   3.70349120e-01
     2350  1.52350000e+02  1.00000000e-03   2.47972148e-02   2.40819657e-02   3.68135033e-01
     2375  1.52375000e+02  1.00000000e-03   2.45899434e-02   2.40597570e-02   3.66012999e-01
     2400  1.52400000e+02  1.00000000e-03   2.43961993e-02   2.40325364e-02   3.63999048e-01
     2425  1.52425000e+02  1.00000000e-03   2.42174179e-02   2.40005494e-02   3.62107857e-01
     2450  1.52450000e+02  1.00000000e-03   2.40549153e-02   2.39640246e-02   3.60352867e-01
     2475  1.52475000e+02  1.00000000e-03   2.39099227e-02   2.39231805e-02   3.58746302e-01
     2500  1.52500000e+02  1.00000000e-03   2.37836003e-02   2.38782429e-02   3.57299273e-01
     2525  1.52525000e+02  1.00000000e-03   2.36769928e-02   2.38294549e-02   3.56021739e-01
     2550  1.52550000e+02  1.00000000e-03   2.35910210e-02   2.37770879e-02   3.54922649e-01
     2575  1.52575000e+02  1.00000000e-03   2.35264655e-02   2.37214321e-02   3.54009842e-01
     2600  1.52600000e+02  1.00000000e-03   2.34840164e-02   2.36628049e-02   3.53290139e-01
     2625  1.52625000e+02  1.00000000e-03   2.34642738e-02   2.36015385e-02   3.52769157e-01
     2650  1.52650000e+02  1.00000000e-03   2.34677082e-02   2.35379818e-02   3.52451129e-01
     2675  1.52675000e+02  1.00000000e-03   2.34945703e-02   2.34724875e-02   3.52338691e-01
     2700  1.52700000e+02  1.00000000e-03   2.35447894e-02   2.34054119e-02   3.52432794e-01
     2725  1.52725000e+02  1.00000000e-03   2.36178919e-02   2.33371041e-02   3.52732632e-01
     2750  1.52750000e+02  1.00000000e-03   2.37130740e-02   2.32679312e-02   3.53236098e-01
     2775  1.52775000e+02  1.00000000e-03   2.38292745e-02   2.31982865e-02   3.53939952e-01
     2800  1.52800000e+02  1.00000000e-03   2.39653306e-02   2.31286080e-02   3.54840160e-01
     2825  1.52825000e+02  1.00000000e-03   2.41201133e-02   2.30593855e-02   3.55931998e-01
     2850  1.52850000e+02  1.00000000e-03   2.42925843e-02   2.29911445e-02   3.57209790e-01
     2875  1.52875000e+02  1.00000000e-03   2.44817247e-02   2.29244181e-02   3.58666330e-01
     2900  1.52900000e+02  1.00000000e-03   2.46864037e-02   2.28597141e-02   3.60292359e-01
     2925  1.52925000e+02  1.00000000e-03   2.49052320e-02   2.27974889e-02   3.62076288e-01
     2950  1.52950000e+02  1.00000000e-03   2.51365218e-02   2.27381431e-02   3.64004488e-01
     2975  1.52975000e+02  1.00000000e-03   2.53783740e-02   2.26820386e-02   3.66062034e-01
     3000  1.53000000e+02  1.00000000e-03   2.56287979e-02   2.26295200e-02   3.68233303e-01
     3025  1.53025000e+02  1.00000000e-03   2.58858389e-02   2.25809280e-02   3.70502436e-01
     3050  1.53050000e+02  1.00000000e-03   2.61476411e-02   2.25366001e-02   3.72853380e-01
     3075  1.53075000e+02  1.00000000e-03   2.64125340e-02   2.24968451e-02   3.75270312e-01
     3100  1.53100000e+02  1.00000000e-03   2.66788640e-02   2.24619443e-02   3.77736749e-01
     3125  1.53125000e+02  1.00000000e-03   2.69449263e-02   2.24321395e-02   3.80235423e-01
     3150  1.53150000e+02  1.00000000e-03   2.72088833e-02   2.24076462e-02   3.82748214e-01
     3175  1.53175000e+02  1.00000000e-03   2.74687875e-02   2.23886495e-02   3.85256607e-01
     3200  1.53200000e+02  1.00000000e-03   2.77226697e-02   2.23753201e-02   3.87742299e-01
     3225  1.53225000e+02  1.00000000e-03   2.79686409e-02   2.23678360e-02   3.90187656e-01
     3250  1.53250000e+02  1.00000000e-03   2.82049506e-02   2.23663795e-02   3.92575842e-01
     3275  1.53275000e+02  1.00000000e-03   2.84299693e-02   2.23711053e-02   3.94890583e-01
     3300  1.53300000e+02  1.00000000e-03   2.86421381e-02   2.23820907e-02   3.97115841e-01
     3325  1.53325000e+02  1.00000000e-03   2.88399419e-02   2.23993012e-02   3.99235715e-01
     3350  1.53350000e+02  1.00000000e-03   2.90219454e-02   2.24225950e-02   4.01234736e-01
     3375  1.53375000e+02  1.00000000e-03   2.91868631e-02   2.24517551e-02   4.03098372e-01
     3400  1.53400000e+02  1.00000000e-03   2.93336254e-02   2.24865278e-02   4.04813523e-01
     3425  1.53425000e+02  1.00000000e-03   2.94613941e-02   2.25266463e-02   4.06368797e-01
     3450  1.53450000e+02  1.00000000e-03   2.95695465e-02   2.25718337e-02   4.07754594e-01
     3475  1.53475000e+02  1.00000000e-03   2.96576423e-02   2.26217927e-02   4.08963019e-01
     3500  1.53500000e+02  1.00000000e-03   2.97254070e-02   2.26761837e-02   4.09987783e-01
     3525  1.53525000e+02  1.00000000e-03   2.97727486e-02   2.27346007e-02   4.10824263e-01
     3550  1.53550000e+02  1.00000000e-03   2.97997497e-02   2.27965072e-02   4.11469564e-01
     3575  1.53575000e+02  1.00000000e-03   2.98064086e-02   2.28613397e-02   4.11920781e-01
     3600  1.53600000e+02  1.00000000e-03   2.97930309e-02   2.29284390e-02   4.12177712e-01
     3625  1.53625000e+02  1.00000000e-03   2.97599388e-02   2.29971994e-02   4.12240948e-01
     3650  1.53650000e+02  1.00000000e-03   2.97077161e-02   2.30670828e-02   4.12113446e-01
     3675  1.53675000e+02  1.00000000e-03   2.96370049e-02   2.31376665e-02   4.11799187e-01
     3700  1.53700000e+02  1.00000000e-03   2.95487319e-02   2.32085597e-02   4.11304288e-01
     3725  1.53725000e+02  1.00000000e-03   2.94438999e-02   2.32794004e-02   4.10635778e-01
